2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Namespace default initialization completed in 78ms
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace: gs-integrations
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace gs-integrations with path: ./data/vector-store/gs-integrations
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Found metadata file for namespace gs-integrations: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/gs-integrations/embedding_metadata.json (size: 1426228 bytes)
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loading metadata for namespace gs-integrations from /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/gs-integrations/embedding_metadata.json
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded metadata for namespace gs-integrations: 804 valid entries, 0 invalid entries in 17ms
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Creating in-memory HNSW index for namespace gs-integrations with initial capacity: 10000
2025-05-21 01:32:59 INFO  [main] c.l.s.impl.RobustVectorStoreService - Building index from storage for namespace gs-integrations
2025-05-21 01:32:59 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Building in-memory HNSW index for namespace gs-integrations from storage
2025-05-21 01:32:59 INFO  [main] c.l.service.impl.JsonVectorStorage - Scanning for vector files in /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/gs-integrations/vectors
2025-05-21 01:32:59 INFO  [main] c.l.service.impl.JsonVectorStorage - Found 804 vector files for namespace gs-integrations in 27ms
2025-05-21 01:32:59 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Found 804 vectors in storage for namespace gs-integrations
2025-05-21 01:32:59 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Creating new index with capacity 10000 for namespace gs-integrations
2025-05-21 01:33:03 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Completed building index for namespace gs-integrations: 804 vectors added, 0 errors, took 4155ms (193.50180505415162 vectors/sec)
2025-05-21 01:33:03 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Memory usage after building index for namespace gs-integrations: 110MB
2025-05-21 01:33:03 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initialized namespace gs-integrations with 804 metadata entries and 804 indexed vectors in 4183ms
2025-05-21 01:33:03 INFO  [main] c.l.s.impl.RobustVectorStoreService - Namespace gs-integrations initialization completed in 4200ms
2025-05-21 01:33:03 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded 0 embedding failures
2025-05-21 01:33:03 INFO  [main] c.l.s.impl.RobustVectorStoreService - RobustVectorStoreService initialized with 2 namespaces, 804 total embeddings, 0 embedding failures in 4282ms
2025-05-21 01:33:03 INFO  [main] c.l.s.impl.RobustVectorStoreService - Vector store memory usage: 110MB
2025-05-21 01:33:03 INFO  [main] c.l.s.i.VectorBasedCodeRepositoryService - Code repository indexing disabled on startup (index-on-startup=false)
2025-05-21 01:35:10 INFO  [SpringApplicationShutdownHook] c.l.s.impl.RobustVectorStoreService - Shutting down RobustVectorStoreService...
2025-05-21 01:35:10 WARN  [SpringApplicationShutdownHook] c.l.s.impl.RobustVectorStoreService - No metadata to save for namespace default
2025-05-21 01:35:10 INFO  [SpringApplicationShutdownHook] c.l.s.impl.RobustVectorStoreService - Saved metadata for 804 embeddings in namespace gs-integrations
2025-05-21 01:35:10 INFO  [SpringApplicationShutdownHook] c.l.s.impl.RobustVectorStoreService - Saved 2 repository namespaces
2025-05-21 01:35:10 INFO  [SpringApplicationShutdownHook] c.l.s.impl.RobustVectorStoreService - Saved 0 embedding failures
2025-05-21 01:39:18 INFO  [main] c.l.service.impl.JsonVectorStorage - JsonVectorStorage initialized with base directory: ./data/vector-store
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing RobustVectorStoreService with storage path: ./data/vector-store
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Vector store directory exists: ./data/vector-store
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loading namespaces from file: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/namespaces.json (size: 29 bytes)
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded 2 repository namespaces: default, gs-integrations
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Beginning to initialize 2 namespaces
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace: default
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Initializing namespace default with path: ./data/vector-store/default
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Found metadata file for namespace default: /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/default/embedding_metadata.json (size: 2 bytes)
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loading metadata for namespace default from /Users/psambaraju/Desktop/cursorProjects/l3AgentNew/./data/vector-store/default/embedding_metadata.json
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Loaded metadata for namespace default: 0 valid entries, 0 invalid entries in 5ms
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Creating in-memory HNSW index for namespace default with initial capacity: 10000
2025-05-21 01:39:19 INFO  [main] c.l.s.impl.RobustVectorStoreService - Building index from storage for namespace default
2025-05-21 01:39:19 INFO  [main] c.l.service.impl.InMemoryHnswIndex - Building in-memory HNSW index for namespace default from storage
